Constituency,NumSeats,TotalPoll,FFNumCandidates,FFNumFirstPref,FFFirstPref,FFNumSeats,FFSeats,FGNumCandidates,FGNumFirstPref,FGFirstPref,FGNumSeats,FGSeats,LabNumCandidates,LabNumFirstPref,LabFirstPref,LabNumSeats,LabSeats,GreenNumCandidates,GreenNumFirstPref,GreenFirstPref,GreenNumSeats,GreenSeats,SFNumCandidates,SFNumFirstPref,SFFirstPref,SFNumSeats,SFSeats,PPPNumCandidates,PPPNumFirstPref,PPPFirstPref,PPPNumSeats,PPPSeats,NonNumCandidates,NonNumFirstPref,NonFirstPref,NonNumSeats,NonSeats,SocNumCandidates,SocNumFirstPref,SocFirstPref,SocNumSeats,SocSeats,SWPNumCandidates,SWPNumFirstPref,SWPFirstPref,SWPNumSeats,SWPSeats,CSPNumCandidates,CSPNumFirstPref,CSPFirstPref,CSPNumSeats,CSPSeats,WPNumCandidates,WPNumFirstPref,WPFirstPref,WPNumSeats,WPSeats,SKIANumCandidates,SKIANumFirstPref,SKIAFirstPref,SKIANumSeats,SKIASeats
Carlow-Kilkenny,5,"73,743",3,"20,721",28.1,1,20,3,"28,924",39.22,3,60,2,"11,980",16.25,1,20,1,"2,072.00",2.81,0,0,2,7033,9.54,0,0,0,0,0,0,0,7,1878,2.546682397,0,0,1,1135,1.539129138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cavan-Monaghan,5,"71,275",2,"14,360",20.15,1,20,4,"28,199",39.56,3,60,1,"4,011",5.63,0,0,1,530,0.74,0,0,2,18452,25.89,1,20,0,0,0,0,0,4,5723,8.029463346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clare,4,"57,916",2,"12,804",22.11,1,25,3,"24,524",42.34,2,50,1,"8,572",14.8,1,25,1,"1,154.00",1.99,0,0,0,0,0,0,0,0,0,0,0,0,9,10862,18.75474826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cork East,4,"56,933",2,"9,642",16.94,0,0,3,"20,847",36.62,2,50,2,"17,563",30.85,1,25,1,635,1.12,0,0,1,6292,11.05,1,25,0,0,0,0,0,4,1954,3.432104403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cork North Central,4,"52,137",1,"7,896",15.14,1,25,2,"13,669",26.22,1,25,2,"13,801",26.47,1,25,1,524,1.01,0,0,1,7923,15.2,1,25,0,0,0,0,0,5,2516,4.82574755,0,0,1,4803,9.212267679,0,0,0,0,0,0,0,1,324,0.621439669,0,0,1,681,1.306174118,0,0,0,0,0,0,0
Cork North West,3,"45,740",2,"11,390",24.9,1,33.33,3,"22,321",48.8,2,66.67,1,"6,421",14.04,0,0,1,651,1.42,0,0,1,3405,7.44,0,0,1,"1,552.00",3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cork South Central,5,"64,040",2,"17,936",28.01,2,40,3,"22,225",34.7,2,40,2,"11,869",18.53,1,20,1,"1,640.00",2.56,0,0,1,5250,8.2,0,0,0,0,0,0,0,8,5120,7.995003123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cork South West,3,"45,658",2,"10,787",23.63,0,0,3,"22,162",48.54,2,66.67,1,"6,533",14.31,1,33.33,1,765,1.68,0,0,1,3346,7.33,0,0,0,0,0,0,0,5,2065,4.522756144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donegal North East,3,"37,918",1,"6,613",17.44,1,33.33,2,"11,987",31.61,1,33.33,1,"4,090",10.79,0,0,1,206,0.54,0,0,1,9278,24.47,1,33.33,0,0,0,0,0,5,5744,15.1484783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donegal South West,3,"43,263",2,"9,745",22.53,0,0,1,"8,589",19.85,1,33.33,1,"2,209",5.11,0,0,1,527,1.22,0,0,1,14262,32.97,1,33.33,0,0,0,0,0,3,7931,18.33206204,1,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin Central,4,"34,612",2,"5,141",14.85,0,0,1,"6,903",19.94,1,25,2,"9,787",28.28,1,25,1,683,1.97,0,0,1,4526,13.08,1,25,0,0,0,0,0,7,7063,20.4062175,1,25,0,0,0,0,0,0,0,0,0,0,1,235,0.678955276,0,0,1,274,0.79163296,0,0,0,0,0,0,0
Dublin Mid West,4,"42,722",1,"5,043",11.8,0,0,2,"13,214",30.93,2,50,2,"13,138",30.75,2,50,1,"1,484.00",3.47,0,0,1,5060,11.84,0,0,1,"2,471.00",5.78,0,0,4,996,2.331351528,0,0,1,622,1.455924348,0,0,0,0,0,0,0,0,0,0,0,0,1,694,1.624455784,0,0,0,0,0,0,0
Dublin North,4,"49,347",2,"7,634",15.47,0,0,2,"15,488",31.39,2,50,2,"13,014",26.37,1,25,1,"4,186.00",8.48,0,0,0,0,0,0,0,0,0,0,0,0,1,1512,3.06401605,0,0,1,7513,15.22483636,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dublin North Central,3,"38,774",1,"5,017",12.94,0,0,2,"14,644",37.77,1,33.33,1,"8,731",22.52,1,33.33,1,501,1.29,0,0,1,2140,5.52,0,0,1,"1,424.00",3.67,0,0,2,6317,16.29184505,1,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
